title,composer,performances,wins,win_rate_percent,avg_points,duration_minutes,difficulty,category,windrep_url
Hight Flight,Joseph Turrin,1,0,0.0,92.0,,,,
And the multitude with one voice spoke,James L. Hosay,1,0,0.0,91.0,,,,
Exultate,Samuel R. Hazo,3,0,0.0,86.83,,,,
Transcendent Journey,Rossano Galante,1,0,0.0,89.0,,,,
Wind Sketches,Philip Sparke,1,0,0.0,88.5,,,,
Manhattan Pictures,Jan Van der Roost,1,0,0.0,87.0,,,,
"Fanfare, Ballad and Jubilee",Claude T. Smith,1,0,0.0,87.0,,,,
The Red Machine,Peter Graham,1,0,0.0,85.0,,,,
Vientos Y Tangos,Michael Gondolfi,6,0,0.0,84.42,,,,
Rush,Samuel R. Hazo,1,1,100.0,93.0,,,,
Of Ancient Dances,Stephen Bulla,1,0,0.0,90.5,,,,
The Hounds of Spring,Alfred Reed,9,2,22.22,89.44,,,,
Sacred Harp,Jay Bocook,3,0,0.0,88.0,,,,
Sea Songs,Ralph Vaughan Williams,2,0,0.0,89.5,,,,
The Land of the Long White Cloud,Philip Sparke,4,0,0.0,87.38,,,,
Time for Outrage!,Marco Pütz,1,0,0.0,86.0,,,,
subTERRA,Daniel Weinberger,15,4,26.67,88.87,,,,
Isles of the Blessed,Bert Appermont,1,0,0.0,89.0,,,,
Mont Blanc - La Voie Royale,Otto M. Schwarz,4,0,0.0,88.75,,,,
The Junction Point,John Brakstad,1,0,0.0,88.0,,,,
Flying the Breeze,Philip Sparke,1,0,0.0,87.5,,,,
Chorale and Variations,Philip Sparke,3,0,0.0,90.0,,,,
Lebuinus ex Daventria,Peter Kleine Schaars,2,0,0.0,87.5,,,,
The Seventh Night of July,Itaru Sakai,3,0,0.0,90.0,,,,
Abracadabra,Frank Ticheli,1,0,0.0,90.0,,,,
The Witch and the Saint,Steven Reineke,10,0,0.0,87.1,,,,
Solas Ane,Samuel R. Hazo,1,0,0.0,84.0,,,,
Life in the Capital City,Timo Fosström,1,1,100.0,93.0,,,,
Oregon,Jacob de Haan,10,0,0.0,86.65,,,,
William Byrd Suite,Gordon Jacob,3,0,33.33,89.0,,,,
Einstein,Thomas Doss,1,0,0.0,85.0,,,,
Iberian Escapades,Robert Sheldon,1,0,0.0,85.0,,,,
Blue Mambo,Michael Sweeney,1,0,0.0,84.0,,,,
Et Expecto Ressurectionem,Olivier Messiaen,1,1,100.0,96.0,,,,
Panorama,Torstein Aagaard-Nilsen,2,0,0.0,92.75,,,,
Danza de los Duendes,Nancy Galbraith,3,0,0.0,92.11,,,,
Piece of Mind,Dana Wilson,2,0,0.0,92.16,,,,
Dionysiaques,"Florent Schmitt, arr. Jeffrey Steiner",6,1,33.33,91.0,,,,
A Savannah Symphony,Philip Sparke,1,0,0.0,95.0,,,,
"Symphony no. 1, ""La Vall de la Murta""",Andrés Valero-Castells,2,0,0.0,94.25,,,,
Poéme du Feu,Ida Gotkovsky,1,0,0.0,93.0,,,,
Labyrinth,Torstein Aagaard-Nilsen,1,0,0.0,92.0,,,,
L’Homme Armée,Ketil Hvoslef,1,0,0.0,90.0,,,,
Sinfonietta for Concert Band,Ingolf Dahl,3,0,33.33,90.17,,,,
"The Planets, 4. sats Jupiter The Bringer of Jollity",Gustav Holst,1,0,0.0,95.0,,,,
Dawn Flight,Philip Wilby,18,1,5.56,88.56,,,,
Overture on Russian and Kirgiz folk themes,"Dmitri Shostakovich, arr: Steven Walker",1,0,0.0,91.0,,,,
Luces y Sombras,Ferrer Ferran,2,0,0.0,90.75,,,,
Dances from Crete,Adam Gorb,2,0,0.0,87.5,,,,
Kokopelli’s Dance,Nathan Tanouye,1,0,0.0,88.0,,,,
Ghost Train,Eric Whitacre,1,1,100.0,96.0,,,,
Ascension,Robert W. Smith,2,0,0.0,89.25,,,,
"Suite Francaise, 4. sats Alsace Lorraine",Darius Milhaud,1,0,0.0,92.0,,,,
"Armenian Dances, Part 2",Alfred Reed,1,0,0.0,91.0,,,,
Punchinello Overture,Alfred Reed,13,1,7.69,85.61,,,,
Sixth Suite for Band,Alfred Reed,1,0,0.0,87.0,,,,
A Movement for Rosa,Mark Camphouse,2,0,0.0,84.75,,,,
Sevens,Samuel R. Hazo,3,0,33.33,90.0,,,,
Praetorius Variations,James Curnow,2,0,0.0,88.0,,,,
Up in the Sky,Otto M. Schwarz,1,0,0.0,82.0,,,,
"Sinfonia di Soffiatori Nr. 3, III. Andante",Geirr Tveitt,1,0,0.0,80.0,,,,
La Vouivre (The Giant Snake),Thomas Doss,2,1,50.0,92.5,,,,
The Curse of the Mermaid,Thomas Doss,2,0,0.0,88.5,,,,
Walkabout - A Kaleidoscopic Journey for Band,John Brakstad,2,0,0.0,85.0,,,,
Under Blågul Fana,Viktor Widqvist,1,0,0.0,83.0,,,,
Theatre Music,Philip Sparke,19,0,0.0,86.45,,,,
Curtain Up!,Alfred Reed,1,0,0.0,80.0,,,,
With Each Sunset (Comes the Promise of a New Day),Richard L. Saucedo,1,0,0.0,89.0,,,,
"Yiddish Dances, 1., 2., 4. og 5. sats",Adam Gorb,1,0,0.0,88.5,,,,
Jericho,Bert Appermont,6,0,0.0,84.58,,,,
The Magnetic Mountain,Mario Bürki,2,0,0.0,84.0,,,,
The Incredibles,"Michael Giacchino, arr. Takashi Hoshide",3,0,33.33,91.17,,,,
Three Norwegian Sketches,Philip Sparke,1,0,0.0,85.5,,,,
Gopak from Gayaneh,Aram Khachaturian,1,0,0.0,83.5,,,,
Sommarsång,"Wilhelm Peterson-Berger, arr. Stig Gustafson",2,0,0.0,83.0,,,,
Overture Jubiloso,Frank Erickson,4,0,0.0,85.38,,,,
Atropos,Kevin Houben,1,0,0.0,82.0,,,,
In all its Glory,James Swearingen,1,0,0.0,88.0,,,,
Edenstrand,Jerker Johansson,1,0,0.0,87.0,,,,
Amparito Roca,Jaime Teixidor,1,0,0.0,84.0,,,,
Malaguena,"Ernesto Lecuona, arr. Sammy Nestico",1,0,0.0,83.0,,,,
Funky Hedde,Torstein Aagaard-Nilsen,1,0,0.0,82.0,,,,
"Symphony no 3, Finale","Aaron Copland, arr. Donald C. Patterson",1,0,0.0,93.67,,,,
Les Preludes,"Franz List, arr. Marc Koninkx",1,0,0.0,89.0,,,,
"Out of Earth, 3. sats ""Emergico""",Oliver Waespi,1,0,0.0,87.67,,,,
Duende,Luis Serrano Alarcòn,2,1,50.0,94.5,,,,
"La promenade, La Femme a l’ombrelle - an Artwork of Claude Monet",Satoshi Yagisawa,2,0,0.0,92.5,,,,
Pines of Rome,"Ottorino Respighi, trans. Guy M. Duker",3,0,0.0,91.0,,,,
"Theme and Variations for Wind Band, Op. 43a",Arnold Schönberg,5,0,0.0,92.0,,,,
The Danserye,Tieleman Susato,1,0,0.0,89.0,,,,
Sensemayà,"Silvestre Revueltas, arr. Christiaan Jansen",3,0,33.33,91.33,,,,
Lost Vegas,Michael Daugherty,1,0,0.0,87.0,,,,
Poema Alpestre,Franco Cesarini,3,0,0.0,86.33,,,,
Cheetah,Karel Husa,1,0,0.0,92.0,,,,
The Bermuda Triangle,Jose Alberto Pina,1,0,0.0,90.0,,,,
Magnolia Star,Steve Danyew,1,0,0.0,88.5,,,,
California,David Maslanka,1,0,0.0,84.5,,,,
The Rise of the Phoenix,Teo Aparicio-Barberan,1,0,0.0,84.0,,,,
"Bergakungen Suite, 2., 4., 6. og 7. sats","Hugo Alfvén, arr. Anders Högstedt",1,0,0.0,82.0,,,,
Firestorm,Stephen Bulla,13,1,7.69,88.19,,,,
Songs of Sailor and Sea,Robert W. Smith,1,0,0.0,89.0,,,,
The Lost Castle,Otto M. Schwarz,1,0,0.0,88.0,,,,
Turbo Scramjet,William Pitts,1,0,0.0,87.0,,,,
Viking Saga,Ray Farr,1,0,0.0,86.0,,,,
Lei milde ljos,"Charles Henry Purday, arr. Torstein Aagaard-Nilsen",1,0,0.0,81.0,,,,
Lincolnshire Posy,"Percy Aldridge Grainger, arr. Frederick Fennell",8,1,12.5,89.88,,,,
Haldensernes Marsj,Oscar Borg,1,0,0.0,87.0,,,,
Toccata e Corale,John Brakstad,2,0,0.0,88.5,,,,
The Verdict,Otto M. Schwarz,1,0,0.0,84.5,,,,
"An Original Suite for Military Band, 1. sats",Gordon Jacob,1,0,0.0,84.0,,,,
Quad City Stomp,Michael Sweeney,1,0,0.0,83.0,,,,
Flashback,Jan de Haan,1,0,0.0,92.0,,,,
Iditarod Dog Sled Race,Robert Buckley,2,0,0.0,88.25,,,,
Virginia,Jacob de Haan,4,0,0.0,88.0,,,,
Almansa,Ferrer Ferran,1,0,0.0,85.0,,,,
Musica Tripartite,John Brakstad,2,0,0.0,83.75,,,,
Postcard,Frank Ticheli,13,1,7.69,89.85,,,,
Parkour,Samuel R. Hazo,1,0,0.0,83.0,,,,
Eg ser deg utfor gluggen,"Trad, arr. Lars Erik Gudim",4,0,0.0,87.38,,,,
The Glenmasan Manuscript,Marc Jeanbourquin,1,0,0.0,82.0,,,,
Come Fly with Me,"Sammy Chan, James van Heusen, arr. Lars Erik Gudim",1,0,0.0,89.0,,,,
By the River,Jan Van der Roost,1,0,0.0,88.0,,,,
Anthem for Peace,Ed Huckeby,1,0,0.0,83.0,,,,
Army of the Nile,Kenneth J. Alford,1,0,0.0,82.5,,,,
To My Country,"Bernard Zweers, arr. Johan de Meij",1,0,0.0,80.0,,,,
Drums of the Saamis,Samuel R. Hazo,1,0,0.0,97.0,,,,
Cossack Wedding Dance,Peter Graham,1,0,0.0,95.0,,,,
See Rock City,Brant Karrick,1,0,0.0,93.0,,,,
Birdland,"Josef Zawinul, arr. Bob Lowden",1,0,0.0,92.0,,,,
Mother Earth (A Fanfare),David Maslanka,4,0,0.0,89.12,,,,
The Godfather Saga,"Nino Rota, Carmine Coppola, arr. Marcel Peeters",1,0,0.0,88.0,,,,
English Folk Song Suite,Ralph Vaughan Williams,1,0,0.0,87.0,,,,
A Gershwin Portrait,John Higgins,1,0,0.0,86.0,,,,
In the Stone,"White, Foster, Willis, arr. Paul Murtha",1,0,0.0,84.0,,,,
Jesus Christ Superstar,"Andrew Lloyd Webber, arr. Willy Hautvast",1,0,0.0,82.0,,,,
"Selections from ""Chicago""","John Kander, arr. Ted Ricketts",1,0,0.0,81.0,,,,
Arkansas,Jacob de Haan,2,0,0.0,86.0,,,,
Fanfare and Choral,Egil Hovland,19,1,10.53,88.44,,,,
"Symphonic Suite from ""On The Waterfront""","Leonard Bernstein, arr. Jay Bocook",2,0,0.0,93.66,,,,
A Child’s Garden of Dreams,David Maslanka,3,0,0.0,90.61,,,,
"Feste Romane, 1., 3. og 4. sats","Ottorino Respighi, arr. Merlin Patterson",1,0,0.0,91.67,,,,
"Rebroll, Op. 31",Salvador Brotons,2,0,0.0,92.5,,,,
Suite fra Katerina Ismailova (4 første satser),"Dmitri Shostakovich, trans. José Schyns",1,0,0.0,90.67,,,,
Symphony no. 7,David Maslanka,2,1,50.0,91.59,,,,
Variasjoner over en folketone fra Valdres,Stig Nordhagen,4,1,25.0,91.33,,,,
Lux Aurumque,Eric Whitacre,2,0,0.0,89.25,,,,
Symphony no. 2,Frank Ticheli,3,0,0.0,89.0,,,,
Symphonic Metamorphosis of themes by Carl Maria von Weber,"Paul Hindemith, arr. Keith Wilson",6,0,0.0,88.33,,,,
The Soul has Many Motions,John Mackey,1,0,0.0,91.0,,,,
"Symfoni nr. 1, 3. og 4. sats",Axel Poleman,1,0,0.0,,,,,
Konzertmusik Für Blasorchester,Paul Hindemith,3,0,0.0,88.0,,,,
Symphonic Moment,Bin Kaneda,1,0,0.0,95.0,,,,
Scootin' on Hardrock,David R. Holsinger,1,0,0.0,94.0,,,,
"O Waly, Waly",Jay Boocok,1,0,0.0,92.0,,,,
Fantasy Variations on a Theme by Niccolo Paganini,James Barnes,2,0,0.0,86.5,,,,
Symphonic Movement,Václav Nelhýbel,2,0,0.0,90.0,,,,
Journey to the Centre of the Earth,Peter Graham,3,0,0.0,87.33,,,,
"The Year of the Dragon, 2. sats",Philip Sparke,1,0,0.0,85.0,,,,
Abide With Me,Arr. Stig Gustafson,1,0,0.0,82.0,,,,
Corsican Litany,Václav Nelhýbel,1,0,0.0,96.0,,,,
The Saga of Haakon the Good,Philip Sparke,4,0,0.0,87.25,,,,
The Seasons,Philip Sparke,2,0,0.0,87.5,,,,
Foundation,Mark Camphouse,1,0,0.0,84.0,,,,
"Variations on a Theme of Robert Schumann (""The Happy Farmer"")",Robert Edward Jager,3,0,0.0,86.33,,,,
Music for Life,Philip Sparke,1,0,0.0,78.0,,,,
Norwegian Dance,Torstein Aagaard-Nilsen,3,0,33.33,86.0,,,,
Air et vents de mai,Hiroshi Hoshina,1,0,0.0,95.0,,,,
Overture Allemande,Thomas Doss,1,0,0.0,88.0,,,,
Vesle Hoa som var en Hottentott,"Torbjørn Egner, arr. Reid Gilje",1,0,0.0,86.0,,,,
Second Suite in F for Military Band,Gustav Holst,9,0,0.0,85.61,,,,
Fate of the Gods,Steven Reineke,7,0,0.0,87.71,,,,
Three Mexican Pictures,Gareth Wood,2,1,50.0,89.0,,,,
Gloriana,Jay Bocook,1,0,0.0,87.0,,,,
Dawn of a New Day,James Swearingen,2,0,0.0,88.0,,,,
Folk Song Suite for Military Band,Ralph Vaughan Williams,3,0,33.33,86.67,,,,
Fra Borge,Torstein Aagaard-Nilsen,2,0,0.0,81.5,,,,
Dies Infernus,Bert Appermont,1,0,0.0,78.5,,,,
....Og teksten var av Prøysen,"Bjarne Amdahl, Egil Monn Iversen, Finn Ludt, Ulf Peder Orlog, Otto Nilsen, arr. Tom Skjellum",1,0,0.0,78.0,,,,
Saint and the City,Jacob de Haan,1,1,100.0,94.0,,,,
Vilela,Ferrer Ferran,1,0,0.0,84.5,,,,
The Light Eternal,James Swearingen,3,0,0.0,89.83,,,,
"Fest Polonaise, Op. 12","Johan Svendsen, arr. Johan Pala",1,0,0.0,82.5,,,,
Birth of a New Day,John Brakstad,1,0,0.0,81.5,,,,
Portrait of a City,Philip Sparke,3,0,0.0,92.0,,,,
"""Loch Ness"" - A Scottish Fantasy",Johan de Meij,2,0,0.0,86.0,,,,
"Ross Roy, Overture for Band",Jacob de Haan,3,0,0.0,87.67,,,,
First Suite in Eb for Military Band,Gustav Holst,8,2,25.0,87.88,,,,
Children of Sanchez,"Chuck Mangione, arr. Idar Torskangerpoll",1,0,0.0,85.0,,,,
Winter Games,"David Foster, arr. John Moss",1,0,0.0,84.0,,,,
Hymn for a Child,James Swearingen,1,0,0.0,83.0,,,,
Har du fyr?,"Ola Bremnes, arr. Stein Ivar Mortensen",1,0,0.0,82.0,,,,
James Bond 007 Selection,"John Barry/Bill Conti, arr. Johan de Meij",1,0,0.0,79.0,,,,
Daphnis and Chloe Suite no. 2,"Maurice Ravel, arr. Tohru Takahashi",1,0,0.0,96.33,,,,
Bum's Rush,Donald Grantham,1,0,0.0,92.33,,,,
Unending Lightning,Bernhard Rands,1,0,0.0,86.33,,,,
Hammersmith - Prelude and scherzo,Gustav Holst,1,0,0.0,90.0,,,,
Luceafarul,Thomas Doss,1,0,0.0,89.0,,,,
"Legend, op. 81",James Barnes,18,1,5.56,88.92,,,,
"Oktober, symfonisk dikt, op. 131","Dmitri Shostakovich, arr. André Seerden",1,0,0.0,85.0,,,,
Extreme Beethoven,Johan de Meij,1,0,0.0,82.0,,,,
"Shake, rattle and roll",David Dzubay,1,1,100.0,96.0,,,,
Black Bolt,Jess Turner,2,0,0.0,90.5,,,,
January fra Winter Dances,Fergal Carrol,1,0,0.0,93.0,,,,
Måndalen Landscapes,Philip Sparke,1,0,0.0,92.0,,,,
Paganini Variations,"Philip Wilby, arr. M. Scott McBride",5,1,20.0,90.4,,,,
Galactic Empires,David R. Gillingham,3,0,0.0,85.5,,,,
Per La Flor Del Lliri Blau,Joaquin Rodrigo,1,0,0.0,90.0,,,,
Sinfonietta no. 2,Philip Sparke,1,0,0.0,87.5,,,,
Alpine Saga,Thomas Doss,1,0,0.0,84.0,,,,
Resurgam,"Eric Ball, arr. Geoffrey Brand",1,0,0.0,82.0,,,,
Karaktersuite,"Henry VIII, Gustav Holst, Edvard Grieg",1,0,0.0,79.0,,,,
Yiddish Dances,Adam Gorb,2,1,50.0,89.5,,,,
Promising Skies,Robert W. Smith,1,0,0.0,92.0,,,,
"Suite of Old American Dances, sats 2 og 5","Robert Russell Bennett, arr. James Curnow",1,0,0.0,91.0,,,,
Divertimento for Band,Vincent Persichetti,2,0,0.0,88.75,,,,
Kungliga Älvsborgs Kustartilleriregimentets marsch,Sam Rydberg,1,0,0.0,88.0,,,,
Summer,Johan de Meij,1,0,0.0,87.5,,,,
Vaudeville Suite,Pi Scheffer,1,0,0.0,87.0,,,,
Viva Musica,Alfred Reed,1,0,0.0,86.5,,,,
Why not?,"Michel Camilo, arr. Lars Erik Gudim",1,0,0.0,86.0,,,,
Ferdaminne,Helge Hurum,1,0,0.0,85.0,,,,
"Songs of the British Isle, sats III og IV",Albert Oliver Davis,1,0,0.0,84.0,,,,
Reach for the Sky,Jerker Johansson,1,0,0.0,81.0,,,,
The Legend of Ali Baba,"Bert Appermont, arr. Frank Van Baelen",3,0,0.0,90.0,,,,
American Dances,Alfred Reed,1,0,0.0,91.5,,,,
Symphonic Rhapsody,Warren Barker,1,0,0.0,90.5,,,,
"Puszta, 4. sats",Jan Van der Roost,3,0,33.33,88.67,,,,
Concert Prelude,Philip Sparke,3,0,0.0,85.17,,,,
The Wind in the Willows,Johan de Meij,1,0,0.0,83.5,,,,
Norwegian Rustic Dances,Helge Hurum,3,0,0.0,87.0,,,,
March of the Belgian Paratroopers,Pierre Leemans,1,0,0.0,82.5,,,,
Portrait of Freedom,Steven Reineke,1,0,0.0,79.0,,,,
The Zest,Ilari Hylkilä,1,0,0.0,90.0,,,,
Pastime With Good Company,"Henry VIII, arr. Trond Elnes",1,0,0.0,88.0,,,,
The Legend of Celobrium,Philip Sparke,1,0,0.0,87.0,,,,
Call of the Valley,Jacob de Haan,1,0,0.0,85.0,,,,
Les Miserables - Selections from the Motion Picture,"Claude-Michel Schönberg, arr. Johnnie Vinson",1,0,0.0,84.0,,,,
The Lion King,"Elton John/Hans Zimmer, arr. John Higgins",1,0,0.0,82.0,,,,
"Symphonie pour Orchestre d’Harmonie, 2. sats Finale",Ida Gotkovsky,1,0,0.0,93.5,,,,
Dances of Galanta,"Zoltán Kodály, trans. Jos Van deBraak",1,0,0.0,90.0,,,,
Sketches of Pain,Øyvind Moe,1,0,0.0,88.0,,,,
Moving Parts,David Sampson,1,0,0.0,95.0,,,,
"Zeppelin Symphony, 1., 3. og 4. sats",Thomas Doss,1,0,0.0,93.0,,,,
Les Coleurs Fauves,Karel Husa,2,0,0.0,93.0,,,,
"Ubu Rex : Burlesque Suite 1., 2., 3. og 5. sats","Krzysztof Penderecki, arr. Henning Brauel",2,0,0.0,82.0,,,,
Danzas Fantásticas,"Joaquin Turina, trans. Douglas McLain",1,0,0.0,96.0,,,,
Paris Sketches 1. og 4. sats,Martin Ellerby,1,0,0.0,95.0,,,,
Sinfonia di Soffiatori Nr. 3 / Sinfonietta de Soffiatori,Geirr Tveitt,1,0,0.0,94.0,,,,
Internal Combustion,David R. Gillingham,2,0,0.0,91.0,,,,
"Give us this Day, 2. sats",David Maslanka,1,0,0.0,91.0,,,,
Free Running,Robert Buckley,1,0,0.0,88.0,,,,
Wind Blitz,Derek Bourgeois,1,0,0.0,84.0,,,,
In a Monastery Garden,Albert W. Ketèlbey,1,0,0.0,93.5,,,,
Ljodgata,Torstein Aagaard-Nilsen,1,0,0.0,92.5,,,,
Elements of the Ancients,John Brakstad,3,0,33.33,91.17,,,,
Third Suite for Band,Robert Edward Jager,2,0,0.0,88.25,,,,
Sinfonia Nobilissima,Robert Edward Jager,1,0,0.0,91.0,,,,
"Elements of the Ancients 1., 3. og 2. sats",John Brakstad,1,0,0.0,89.0,,,,
Awayday,Adam Gorb,13,1,7.69,88.62,,,,
Emblems,Aaron Copland,2,0,0.0,89.0,,,,
"Second Suite for Band, 4. sats",Alfred Reed,2,0,0.0,87.75,,,,
The Call of the Righteous,"Leslie Condon, arr. Brian Bowen",1,0,0.0,90.0,,,,
Silence Overwhelmed,Brian Balmages,1,0,0.0,88.5,,,,
Ivanhoe,Bert Appermont,1,0,0.0,86.0,,,,
"First Suite in Eb for Military Band, Sats 3 March","Gustav Holst, arr. Colin Matthews",1,0,0.0,84.0,,,,
Variation on a Korean Folk Song,John Barnes Chance,2,0,0.0,87.5,,,,
Celebration and Dance,James Swearingen,1,0,0.0,87.0,,,,
Celebration (fra Birkshire Overture),Jeffrey P. Funnell,1,0,0.0,85.0,,,,
Symphonic Marches,"John Williams, arr. Maurice Hamers",1,0,0.0,84.0,,,,
Symphonic Metamorphosis on themes from Saint-Saëns 3rd Symphony,Philip Sparke,1,0,0.0,82.0,,,,
Requiem to a Land Forgotten,Robert Sheldon,1,0,0.0,81.0,,,,
Jazzline,Helge Hurum,1,0,0.0,80.0,,,,
Tintin - Prisoners of the Sun,"Dirk Brossè, arr. Johan de Meij",2,1,50.0,93.0,,,,
Primavera,Satoshi Yagisawa,1,0,0.0,93.0,,,,
Elysium,Robert Finn,1,0,0.0,90.0,,,,
"Three Acts for Band, Adagio for Winds",Helge Hurum,1,0,0.0,82.0,,,,
Aquarium,Johan de Meij,3,0,0.0,84.67,,,,
Cobra,Jan Bosveld,3,0,0.0,91.0,,,,
Basie,Øyvind Westbye,3,0,33.33,89.67,,,,
The Playground Project - 3. Urban Funkism,Torstein Aagaard-Nilsen,2,1,50.0,93.0,,,,
And the Mountains Rising Nowhere,Joseph Schwantner,1,0,0.0,90.0,,,,
"Symphony no. 1, ‘Gilgamesh’ (Kutt i sats 4: takt 1-99)",Bert Appermont,1,0,0.0,91.0,,,,
Jupiter - The Bringer of Jollity,Gustav Holst,1,0,0.0,82.0,,,,
Symphony for William,Derek Bourgeois,1,0,0.0,96.0,,,,
New Life,Maurice Hamers,1,0,0.0,91.0,,,,
La Fanciulla del West,"Giacomo Puccini, arr: Johan de Meij",1,0,0.0,88.0,,,,
Atlantic Odyssey,Philip Sparke,1,0,0.0,87.0,,,,
1812 Overture,"Peter Tschaikowsky, arr. Mayhew Lake",1,0,0.0,86.5,,,,
"Suites of ABUK, sats 1, 2 og 3",Juha Pisto,1,0,0.0,86.0,,,,
"Bilder fra en Utstilling, The Hut on Chicken Legs (Baba Yaga)","Modest Petrovitsj Musorgskij, arr. Carl Simpson",1,0,0.0,85.5,,,,
Fragmotion,Svein Henrik Giske,1,0,0.0,88.0,,,,
John Williams Swings!,"John Williams, arr. Jay Bocook",1,0,0.0,84.0,,,,
Following the Wares,Svein Henrik Giske,2,0,0.0,91.0,,,,
Symfonia no. 3 - La Salsa 1. sats: Tumbao,"Robert Sierra, trans. Mark D. Scatterday",1,0,0.0,89.0,,,,
A Festive Overture (for Concert Band),Alfred Reed,3,0,0.0,87.5,,,,
Ireland: Of Legend and Lore,Robert W. Smith,3,0,0.0,85.33,,,,
Kaleidoscope,Philip Sparke,1,0,0.0,85.0,,,,
Galop,Dmitri Shostakovich,1,0,0.0,83.5,,,,
Rapsodie Norvègienne,"Edouard Lalo, arr. Bjørn Mellemberg",1,0,0.0,82.0,,,,
"Kentish Dances, 1. sats",Philip Sparke,1,1,100.0,96.0,,,,
Into the Raging River,Steven Reineke,1,0,0.0,92.0,,,,
Concord,Clare E. Grundman,1,0,0.0,88.0,,,,
Fantasia Norvegese,Bjørn Mellemberg,1,0,0.0,87.0,,,,
Canterbury Chorale,Jan Van der Roost,1,0,0.0,86.0,,,,
